Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
1102,TA766,2021/22,STA,Pembrolizumab,Pharmaceutical,Adjuvant treatment of completely resected stage 3 melanoma,Recommended,"Recommended in line with marketing authorisation and following agreement of a patient access scheme.
Replaces TA553"
1103,TA767,2021/22,STA,Ponesimod ,Pharmaceutical,Relapsing–remitting multiple sclerosis,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
1104,TA768,2021/22,STA,Upadacitinib ,Pharmaceutical,Active psoriatic arthritis after inadequate response to DMARDs,Optimised,"Optimised recommendation for upadacitinib, alone or with methotrexate, for treating active psoriatic arthritis in adults whose disease has not responded well enough to disease-modifying antirheumatic drugs (DMARDs) or who cannot tolerate them. It is recommended only if they have peripheral arthritis with 3 or more tender joints and 3 or more swollen joints and:
they have had 2 conventional DMARDs and at least 1 biological DMARD or
TNF-alpha inhibitors are contraindicated but would otherwise be considered (as described in NICE's technology appraisal guidance on etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis).
Upadacitinib is recommended only if the company provides it according to the commercial arrangement."
1105,TA769,2021/22,STA,Palforzia ,Pharmaceutical,Peanut allergy in children and young people,Recommended,Recommended in line with marketing authorisation.
1106,TA770,2021/22,STA,Pembrolizumab with carboplatin and paclitaxel ,Pharmaceutical,Untreated metastatic squamous non-small-cell lung cancer,Optimised,"Optimised recommendation for Pembrolizumab with carboplatin and paclitaxel is recommended as an option for untreated metastatic squamous non-small-cell lung cancer (NSCLC) in adults, only if
their tumours express PD‑L1 with a tumour proportion score of 0% to 49%
their tumours express PD‑L1 with a tumour proportion score of 50% or more and they need urgent clinical intervention
it is stopped at 2 years of uninterrupted treatment or earlier if their disease progresses and
the company provides pembrolizumab according to the commercial arrangement.
CDF review of TA600 "
1107,TA771,2021/22,STA,"Daratumumab with bortezomib, melphalan and prednisone",Pharmaceutical, Untreated multiple myeloma,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1108,TA772,2021/22,STA,Pembrolizumab ,Pharmaceutical,Relapsed or refractory classical Hodgkin lymphoma after stem cell transplant or at least 2 previous therapies,Recommended,"Recommendded in line with marketing authorisation and following agreemenet of a commerical access agreement.
Extension to the MA in TA540"
1109,TA773,2021/22,STA,Empagliflozin,Pharmaceutical,Chronic heart failure with reduced ejection fraction,Optimised,"Optimised recommendation for empagliflozin for treating symptomatic chronic heart failure with reduced ejection fraction in adults, only if it is used as an add-on to optimised standard care with:
an angiotensin-converting enzyme (ACE) inhibitor or angiotensin 2 receptor blocker (ARB), with a beta blocker and, if tolerated, a mineralocorticoid receptor antagonist (MRA), or
sacubitril valsartan with a beta blocker and, if tolerated, an MRA."
1110,TA774,2021/22,STA,Lenalidomide ,Pharmaceutical,Relapsed or refractory mantle cell lymphoma,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1111,TA775,2021/22,STA,Dapagliflozin ,Pharmaceutical,Chronic kidney disease,Optimised,"Optimised recommendation for dapagliflozin for treating chronic kidney disease (CKD) in adults. It is recommended only if:
it is an add-on to optimised standard care including the highest tolerated licensed dose of angiotensin-converting enzyme (ACE) inhibitors or angiotensin-receptor blockers (ARBs), unless these are contraindicated, and
people have an estimated glomerular filtration rate (eGFR) of 25 ml/min/1.73 m2 to 75 ml/min/1.73 m2 at the start of treatment and:
have type 2 diabetes or
have a urine albumin-to-creatinine ratio (uACR) of 22.6 mg/mmol or more. "
1112,TA776,2021/22,STA,Pitolisant hydrochloride ,Pharmaceutical,Excessive daytime sleepiness caused by obstructive sleep apnoea,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
1113,TA777,2021/22,STA,Solriamfetol ,Pharmaceutical,Excessive daytime sleepiness caused by obstructive sleep apnoea,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
1114,TA778,2021/22,STA,Pegcetacoplan,Pharmaceutical,Paroxysmal nocturnal haemoglobinuria,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
1115,TA779,2021/22,STA,Dostarlimab,Pharmaceutical,Previously treated advanced or recurrent endometrial cancer with high microsatellite instability or mismatch repair deficiency,Recommended (CDF),Dostarlimab is recommended for use within the Cancer Drugs Fund as an option for treating advanced or recurrent endometrial cancer with high microsatellite instability or mismatch repair deficiency in adults who have had platinum-based chemotherapy. It is recommended only if the conditions in the managed access agreement are followed.
1116,TA780,2021/22,STA,Nivolumab with ipilimumab ,Pharmaceutical,Untreated advanced renal cell carcinoma,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
1117,TA781,2021/22,STA,Sotorasib ,Pharmaceutical,Previously treated KRAS G12C mutation-positive advanced non-small-cell lung cancer,Recommended (CDF),"Sotorasib is recommended for use within the Cancer Drugs Fund as an option for treating KRAS G12C mutation-positive locally advanced or metastatic non-small-cell lung cancer in adults whose disease has progressed on, or who cannot tolerate, platinum-based chemotherapy or anti-PD-1/PD-L1 immunotherapy. It is recommended only if the conditions in the managed access agreement for sotorasib are followed."
1118,TA782,2021/22,STA,Tagraxofusp,Pharmaceutical, Treating blastic plasmacytoid dendritic cell neoplasm ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1119,TA783,2022/23,STA,Daratumumab monotherapy for treating relapsed and refractory multiple myeloma,Pharmaceutical,Relapsed and refractory multiple myeloma,Optimised,"CDF review of TA510 Optimised recommenation for daratumumab monotherapy is recommended as an option for treating relapsed and refractory multiple myeloma in adults who have had a proteasome inhibitor and an immunomodulator, and whose disease progressed on the last treatment, only if:
they have daratumumab after 3 treatments and
the company provides daratumumab according to the commercial arrangement."
1120,TA784,2022/23,STA,Niraparib,Pharmaceutical,"Maintenance treatment of relapsed, platinum-sensitive ovarian, fallopian tube and peritoneal cancer",Optimised,"CDF review of TA528. Optimised recommendation for niraparib for treating relapsed, platinum-sensitive high-grade serous epithelial ovarian, fallopian tube or primary peritoneal cancer that has responded to the most recent course of platinum-based chemotherapy in adults. It is recommended only if: 
they have a BRCA mutation and have had 2 courses of platinum-based chemotherapy, or they do not have a BRCA mutation and have had 2 or more courses of platinum-based chemotherapy, and
the company provides it according to the commercial arrangement."
1121,TA785,2022/23,STA,Nivolumab with cabozantinib ,Pharmaceutical,Untreated advanced renal cell carcinoma,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1122,TA786,2022/23,STA,Tucatinib with trastuzumab and capecitabine ,Pharmaceutical,HER2-positive advanced breast cancer after 2 or more anti-HER2 therapies,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
1123,TA787,2022/23,STA,Venetoclax with low dose cytarabine ,Pharmaceutical,Untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable,Optimised,"Optimised recommendation for venetoclax with low dose cytarabine for untreated acute myeloid leukaemia in adults when intensive chemotherapy is unsuitable, only if:
they have over 30% bone marrow blasts
the company provides venetoclax according to the commercial arrangement."
1124,TA788,2022/23,STA,Avelumab ,Pharmaceutical,Maintenance treatment of locally advanced or metastatic urothelial cancer after platinum-based chemotherapy,Optimised,"Optimised recommendation for avelumab for maintenance treatment of locally advanced or metastatic urothelial cancer that has not progressed after platinum-based chemotherapy in adults, only if:
avelumab is stopped at 5 years of uninterrupted treatment or earlier if the disease progresses and
the company provides avelumab according to the commercial arrangement."
1125,TA789,2022/23,STA,Tepotinib ,Pharmaceutical,Advanced non-small-cell lung cancer with MET gene alterations,Recommended,Recommended in line with the marketing authorisation and following agreement of a patient access scheme.
1126,TA790,2022/23,STA,TYRX Absorbable Antibacterial Envelope ,Medical Device,Preventing infection from cardiac implantable electronic devices,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1127,TA791,2022/23,STA,Romosozumab,Pharmaceutical,Treating severe osteoporosis,Optimised,"Optimised recommendation for reating severe osteoporosis in people after menopause who are at high risk of fracture, only if:
they have had a major osteoporotic fracture (spine, hip, forearm or humerus fracture) within 24 months (so are at imminent risk of another fracture) and
the company provides romosozumab according to the commercial arrangement."
1128,TA792,2022/23,STA,Filgotinib,Pharmaceutical,Moderately to severely active ulcerative colitis,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
1129,TA793,2022/23,STA,Anifrolumab ,Pharmaceutical,Active autoantibody-positive systemic lupus erythematosus,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1130,TA794,2022/23,STA,Diroximel fumarate ,Pharmaceutical,Relapsing–remitting multiple sclerosis,Optimised,"Optimised recommendation for diroximel fumarate for treating active relapsing–remitting multiple sclerosis (normally defined as 2 clinically significant relapses in the previous 2 years) in adults, only if:
they do not have highly active or rapidly evolving severe relapsing–remitting multiple sclerosis and
the company provides diroximel fumarate according to the commercial arrangement."
1131,TA795,2022/23,STA,Ibrutinib ,Pharmaceutical,Waldenstrom’s macroglobulinaemia,Not recommended,"CDF review of TA491. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
1132,TA796,2022/23,STA,Venetoclax ,Pharmaceutical,Chronic lymphocytic leukaemia,Recommended,CDF review of TA487 Recommended in line with the martketing authorisation and following agreement of a patient access schemem
1133,TA797,2022/23,STA,Enfortumab vedotin ,Pharmaceutical,Previously treated locally advanced or metastatic urothelial cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1134,TA798,2022/23,STA,Durvalumab ,Pharmaceutical,Maintenance treatment of unresectable non-small-cell lung cancer after platinum-based chemoradiation,Optimised,"CDF review of TA578 Optimised recommendation for durvalumab for treating locally advanced unresectable non-small-cell lung cancer (NSCLC) in adults whose tumours express programmed cell death ligand 1 (PD‑L1) on 1% or more of cells and whose disease has not progressed after platinum-based chemoradiation, only if:
they have had concurrent platinum-based chemoradiation
the company provides durvalumab according to the commercial arrangement."
1135,TA799,2022/23,STA,Faricimab,Pharmaceutical,Diabetic macular oedema,Optimised,"Optimised recommendation for faricimab for faricimab is recommended as an option for treating visual impairment due to diabetic macular oedema in adults, only if:
the eye has a central retinal thickness of 400 micrometres or more at the start of treatment
the company provides faricimab according to the commercial arrangement."
1136,TA800,2022/23,STA,Faricimab ,Pharmaceutical,Wet age-related macular degeneration,Optimised,"Optimised recommendation for aricimab for treating wet age-related macular degeneration in adults, only if: 
the eye has a best-corrected visual acuity between 6/12 and 6/96
there is no permanent structural damage to the central fovea
the lesion size is 12 disc areas or less in greatest linear dimension
there are signs of recent disease progression (for example, blood vessel growth as shown by fluorescein angiography, or recent visual acuity changes)
the company provides faricimab according to the commercial arrangement."
1137,TA801,2022/23,STA,Pembrolizumab plus chemotherapy,Pharmaceutical," Untreated, triple-negative, locally recurrent unresectable or metastatic breast cancer",Optimised,"Optimised recommendation for pembrolizumab plus chemotherapy (paclitaxel or nab‑paclitaxel) for treating triple‑negative, locally recurrent unresectable or metastatic breast cancer in adults who have not had chemotherapy for metastatic disease. It is recommended only if:
the tumours express PD‑L1 with a combined positive score (CPS) of 10 or more and an immune cell staining (IC) of less than 1%, and
the company provides pembrolizumab according to the commercial arrangement."
1138,TA802,2022/23,STA,Cemiplimab,Pharmaceutical,Advanced cutaneous squamous cell carcinoma,Optimised,"CDF review of TA592 Optimised recommendation for cemiplimabn for treating metastatic or locally advanced cutaneous squamous cell carcinoma in adults when curative surgery or curative radiotherapy is not suitable, only if:
it is stopped at 24 months, or earlier if their disease progresses, and
the company provides cemiplimab according to the commercial arrangement."
1139,TA803,2022/23,STA,Risankizumab,Pharmaceutical,Psoriatic arthritis after inadequate response to DMARDs,Optimised,"Optimised recommendation for risankizumab, alone or with methotrexate for treating active psoriatic arthritis in adults whose disease has not responded well enough to disease-modifying antirheumatic drugs (DMARDs) or who cannot tolerate them. It is recommended only if they have:
peripheral arthritis with 3 or more tender joints and 3 or more swollen joints
moderate to severe psoriasis (a body surface area of at least 3% affected by plaque psoriasis and a Psoriasis Area and Severity Index [PASI] score greater than 10)
had 2 conventional DMARDs and at least 1 biological DMARD.
Risankizumab is recommended only if the company provides it according to the commercial arrangement."
1140,TA804,2022/23,STA,Teduglutide,Pharmaceutical,Short bowel syndrome,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
1141,TA805,2022/23,STA,Icosapent ethyl with statin therapy for reducing the risk of cardiovascular events in people with raised triglycerides,Pharmaceutical,Reducing the risk of cardiovascular events in people with raised triglycerides,Optimised,"Optimised recommendation for Icosapent ethyl is recommended as an option for reducing the risk of cardiovascular events in adults. It is recommended if they have a high risk of cardiovascular events and raised fasting triglycerides (1.7 mmol/litre or above) and are taking statins, but only if they have:
established cardiovascular disease (secondary prevention), defined as a history of any of the following:
acute coronary syndrome (such as myocardial infarction or unstable angina needing hospitalisation)
coronary or other arterial revascularisation procedures
coronary heart disease
ischaemic stroke
peripheral arterial disease, and
low-density lipoprotein cholesterol (LDL‑C) levels above 1.04 mmol/litre and below or equal to 2.60 mmol/litre."
1142,TA806,2022/23,STA,Belimumab ,Pharmaceutical,Lupus nephritis,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1143,TA807,2022/23,STA,Roxadustat,Pharmaceutical,Symptomatic anaemia in chronic kidney disease,Optimised,"Optimised recommendation for roxadustat for treating symptomatic anaemia associated with chronic kidney disease (CKD) in adults only if:
they have stage 3 to 5 CKD with no iron deficiency and
they are not on dialysis at the start of treatment and
the company provides roxadustat according to the commercial arrangement."
1144,TA808,2022/23,STA,Fenfluramine,Pharmaceutical,Treating seizures associated with Dravet syndrome,Optimised,"Optimised recommendation for fenfluramine as an add‑on to other antiseizure medicines for treating seizures associated with Dravet syndrome in people aged 2 years and older, only if:
seizures have not been controlled after trying 2 or more antiseizure medicines
the frequency of convulsive seizures is checked every 6 months, and fenfluramine is stopped if it has not fallen by at least 30% compared with the 6 months before starting treatment
the company provides fenfluramine according to the commercial arrangement."
1145,TA809,2022/23,STA,Imlifidase ,Pharmaceutical,Desensitisation treatment before kidney transplant in people with chronic kidney disease,Optimised,"Optimised recommendation for desensitisation treatment option for adults who:
are waiting for a kidney transplant from a deceased donor
are highly sensitised to human leukocyte antigens (HLA)
have a positive crossmatch with the donor and are unlikely to have a transplant under the available kidney allocation system (including prioritisation programmes for highly sensitised people).
It is recommended only if:
a maximum of 1 dose is given
it is given in a specialist centre with experience of treating high sensitisation to HLA
the company provides imlifidase according to the commercial arrangement."
1146,TA810,2022/23,STA,Abemaciclib with endocrine therapy ,Pharmaceutical,"Adjuvant treatment of hormone receptor-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence",Recommended,"Recommended in line with marketing authorisation and following agreement of a patient access scheme. 
NB The MA is confuisng and split across section 4.1 and 5.1.
"
1147,TA811,2022/23,STA,Duvelisib ,Pharmaceutical,Relapsed or refractory chronic lymphocytic leukaemia after 2 or more treatments,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1148,TA812,2022/23,STA,Pralsetinib ,Pharmaceutical,RET fusion-positive advanced non-small-cell lung cancer,Not recommended," At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
1149,TA813,2022/23,STA,Asciminib ,Pharmaceutical,Chronic myeloid leukaemia after 2 or more tyrosine kinase inhibitors,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme. 
1150,TA814,2022/23,MTA,Abrocitinib,Pharmaceutical,Moderate to severe atopic dermatitis,Optimised,"Optimsed recommendation for abrocitinib treating moderate to severe atopic dermatitis that is suitable for systemic treatment in adults and young people 12 years and over, only if:
the disease has not responded to at least 1 systemic immunosuppressant, or these are not suitable
the company provides abrocitinib according to the commercial arrangement."
1151,TA814,2022/23,MTA,Upadacitinib,Pharmaceutical,Moderate to severe atopic dermatitis,Optimised,"Optimsed recommendation for upadacitinib are recommended as options for treating moderate to severe atopic dermatitis that is suitable for systemic treatment in adults and young people 12 years and over, only if:
the disease has not responded to at least 1 systemic immunosuppressant, or these are not suitable
the company provides upadacitinib according to the commercial arrangement."
1152,TA814,2022/23,MTA,Tralokinumab,Pharmaceutical,Moderate to severe atopic dermatitis,Optimised,"Optimsed recommendation for ralokinumab is recommended as an option for treating moderate to severe atopic dermatitis that is suitable for systemic treatment in adults, only if:
the disease has not responded to at least 1 systemic immunosuppressant, or these are not suitable
the company provides tralokinumab according to the commercial arrangement."
1153,TA815,2022/23,STA,Guselkumab ,Pharmaceutical,Active psoriatic arthritis after inadequate response to DMARDs,Optimised,"Rapid review of TA711. Optimised recommendation for guselkumab, alone or with methotrexate, for treating active psoriatic arthritis in adults whose disease has not responded well enough to disease-modifying antirheumatic drugs (DMARDs) or who cannot tolerate them. It is recommended only if they have had 2 conventional DMARDs and:have had at least 1 biological DMARD, or
tumour necrosis factor (TNF)-alpha inhibitors are contraindicated but would otherwise be considered (as described in NICE's technology appraisal guidance on etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis).
Guselkumab is recommended only if the company provides it according to the commercial arrangement. Active psoriatic arthritis is defined as peripheral arthritis with 3 or more tender joints and 3 or more swollen joints."
1154,TA816,2022/23,STA,Alpelisib with fulvestrant ,Pharmaceutical,"Hormone receptor-positive, HER2-negative, PIK3CA-mutated advanced breast cancer",Optimised,"Replaces TA652 Optimised recommendation for alpelisib plus fulvestrant for treating hormone receptor-positive, HER2-negative, PIK3CA-mutated, locally advanced or metastatic breast cancer in adults, only if:
their cancer has progressed after a CDK4/6 inhibitor plus an aromatase inhibitor and
the company provides alpelisib according to the commercial arrangement)."
1155,TA817,2022/23,STA,Nivolumab,Pharmaceutical,Invasive urothelial cancer at high risk of recurrence,Optimised,"Optimsed recommendation for nivolumab for the adjuvant treatment of muscle-invasive urothelial cancer that is at high risk of recurrence after radical resection in adults whose tumours express PD-L1 at a level of 1% or more. It is recommended only if:
adjuvant treatment with platinum‑based chemotherapy is unsuitable, and 
the company provides nivolumab according to the commercial arrangement."
1156,TA818,2022/23,STA,Nivolumab with ipilimumab ,Pharmaceutical,Untreated unresectable malignant pleural mesothelioma,Optimised,"Optimised recommendation for nivolumab plus ipilimumab is recommended as an option for untreated unresectable malignant pleural mesothelioma in adults, only if:
they have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
the company provides it according to the commercial arrangement."
1157,TA819,2022/23,STA,Sacituzumab govitecan ,Pharmaceutical,Unresectable triple-negative advanced breast cancer after 2 or more therapies,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme. 
1158,TA820,2022/23,STA,Brolucizumab,Pharmaceutical,Diabetic macular oedema,Optimised,"Optimised recommendation for brolucizumab for treating visual impairment due to diabetic macular oedema in adults, only if:
the eye has a central retinal thickness of 400 micrometres or more at the start of treatment
the company provides brolucizumab according to the commercial arrangement."
1159,TA821,2022/23,STA,Avalglucosidase alfa ,Pharmaceutical,Pompe disease,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme. 
1160,TA822,2022/23,STA,Melphalan ,Pharmaceutical,Haematological diseases before allogeneic haematopoietic stem cell transplant,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1161,TA823,2022/23,STA,Atezolizumab,Pharmaceutical,Adjuvant treatment of resected non-small-cell lung cancer,Recommended (CDF),"Atezolizumab is recommended for use within the Cancer Drugs Fund as an option for adjuvant treatment after complete tumour resection in adults with stage 2 to 3a non-small-cell lung cancer (NSCLC) whose:
tumours have the programmed cell death ligand‑1 (PD‑L1) biomarker expression on 50% or more of their tumour cells and
whose disease has not progressed after platinum-based adjuvant chemotherapy.
It is recommended only if the company provides atezolizumab according to the managed access agreement."
1162,TA824,2022/23,STA,Dexamethasone intravitreal implant,Pharmaceutical,Diabetic macular oedema,Optimised,"Replaces TA349. Optimised recommendation for dexamethasone intravitreal implant for treating visual impairment caused by diabetic macular oedema in adults only if their condition has not responded well enough to, or if they cannot have non-corticosteroid therapy."
1163,TA825,2022/23,STA,Avacopan,Pharmaceutical,Severe active granulomatosis with polyangiitis or microscopic polyangiitis,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme. 
1164,TA826,2022/23,STA,Vedolizumab,Pharmaceutical,Chronic refractory pouchitis after surgery for ulcerative colitis,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1165,TA827,2022/23,STA,Oral azacitidine ,Pharmaceutical,Maintenance treatment of acute myeloid leukaemia after induction therapy,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme. 
1166,TA828,2022/23,STA,Ozanimod ,Pharmaceutical,Moderately to severely active ulcerative colitis,Optimised,"Optimised recommendation for eating moderately to severely active ulcerative colitis in adults, only if: 
conventional treatment cannot be tolerated or is not working well enough and infliximab is not suitable, or 
biological treatment cannot be tolerated or is not working well enough, and
the company provides it according to the commercial arrangement."
1167,TA829,2022/23,STA,Upadacitinib ,Pharmaceutical,Active ankylosing spondylitis,Optimised,"Optimised recommendation for upadacitinib for treating active ankylosing spondylitis that is not controlled well enough with conventional therapy in adults, only if:
tumour necrosis factor (TNF)-alpha inhibitors are not suitable or do not control the condition well enough and
the company provides upadacitinib according to the commercial arrangement."
1168,TA830,2022/23,STA,Pembrolizumab ,Pharmaceutical,Adjuvant treatment of renal cell carcinoma,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme. 
1169,TA831,2022/23,STA,Olaparib ,Pharmaceutical,Previously treated BRCA mutation-positive hormone-relapsed metastatic prostate cancer,Not recommended," At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
1170,TA832,2022/23,STA,Relugolix–estradiol–norethisterone acetate,Pharmaceutical,Moderate to severe symptoms of uterine fibroids,Recommended,Recommended in line with the marketing authorisation
1171,TA833,2022/23,STA,Zanubrutinib ,Pharmaceutical,Waldenstrom’s macroglobulinaemia,Optimised,"Optimised recommendation for zanubrutinib for treating Waldenstrom's macroglobulinaemia in adults who have had at least 1 treatment, only if:
bendamustine plus rituximab is also suitable and
the company provides it according to the commercial arrangement."
1172,TA834,2022/23,STA,SQ HDM SLIT ,Pharmaceutical,Allergic rhinitis and allergic asthma caused by house dust mites,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1173,TA835,2022/23,STA,Fostamatinib ,Pharmaceutical,Refractory chronic immune thrombocytopenia,Optimised,"Rapid review of TA759. Optimised recommendation for treating refractory chronic immune thrombocytopenia (ITP) in adults, only if:
they have previously had a thrombopoietin receptor agonist (TPO‑RA), or a TPO‑RA is unsuitable
the company provides fostamatinib according to the commercial arrangement.
"
1174,TA836,2022/23,STA,Palbociclib with fulvestrant ,Pharmaceutical,"Hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",Recommended,CDF review of TA619. Recommended in line with clincial practice and following agreement of a patient access scheme.
1175,TA837,2022/23,STA,Pembrolizumab ,Pharmaceutical,Adjuvant treatment of resected stage 2B or 2C melanoma,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme
1176,TA838,2022/23,STA,Slow-release potassium bicarbonate–potassium citrate,Pharmaceutical,Distal renal tubular acidosis,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1177,TA839,2022/23,STA,Ruxolitinib,Pharmaceutical,Acute graft versus host disease refractory to corticosteroids,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1178,TA840,2022/23,STA,Ruxolitinib,Pharmaceutical,Chronic graft versus host disease refractory to corticosteroids,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1179,TA841,2022/23,STA,Carfilzomib with daratumumab and dexamethasone,Pharmaceutical,Relapsed or refractory multiple myeloma,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1180,TA842,2022/23,STA,Tisagenlecleucel ,Pharmaceutical,Follicular lymphoma after 2 or more therapies ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1181,TA843,2022/23,STA,Luspatercept ,Pharmaceutical,Anaemia caused by beta-thalassaemia,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1182,TA844,2022/23,STA,Luspatercept,Pharmaceutical,Anaemia caused by myelodysplastic syndromes,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1183,TA845,2022/23,STA,Mepolizumab ,Pharmaceutical,Eosinophilic granulomatosis with polyangiitis,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1184,TA846,2022/23,STA,Mepolizumab,Pharmaceutical,Severe hypereosinophilic syndrome,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1185,TA847,2022/23,STA,Mepolizumab,Pharmaceutical,Severe chronic rhinosinusitis with nasal polyps,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1186,TA848,2022/23,STA,Cemiplimab,Pharmaceutical,Untreated PD-L1-positive advanced or metastatic non-small-cell lung cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
1187,TA849,2022/23,STA,Cabozantinib,Pharmaceutical, Previously treated advanced hepatocellular carcinoma,Optimised,"Replaces TA582. Optimised recommendation for cabozantinib for treating advanced hepatocellular carcinoma (HCC) in adults who have had sorafenib, only if:
they have Child–Pugh grade A liver impairment and an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1, and
the company provides it according to the commercial arrangement.
"
1188,TA850,2022/23,STA,Amivantamab,Pharmaceutical,EGFR exon 20 insertion mutation-positive advanced non-small-cell lung cancer after platinum-based chemotherapy,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
1189,TA851,2022/23,STA,Pembrolizumab ,Pharmaceutical,Neoadjuvant and adjuvant treatment of triple-negative early or locally advanced breast cancer,Recommended,Recommended in line with marketing authorisation and following agreement of a commerical access arrangement
1190,TA852,2022/23,STA,Trifluridine–tipiracil,Pharmaceutical,Metastatic gastric cancer or gastro-oesophageal junction adenocarcinoma after 2 or more treatments,Recommended,Rapide review of TA669.  Recommended in line with marketing authorisation and following agreement of a patient access scheme
1191,TA853,2022/23,STA,Avatrombopag,Pharmaceutical,Primary chronic immune thrombocytopenia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme
